Ground Tracking ID Prefix	Express or Ground Tracking ID
	394072794346
	393188177960
	394203941799
	392226012822
	394064531750
	394124227817
	392685610300
	394076386401
	394169342171
	392685625726
	392226027240
	392685642589
	392483169002
	392910641516
	394123380089
	392797419526
	392988457002
	393360783200
	393899752054
	392988455400
	394164033063
	394169433434
	393790105199
	394076788405
	394199694879
	392909837630
	394178200784
	394203943405
	394125395198
	392483165095
	392835599932
	392118399615
	394054509551
	394077069819
	394166724244
	392226012281
	393028800423
	394076782565
	394129130308
	394073776939
	394129066409
	394162472140
	392712627829
	394123099674
	393564190880
	394129071187
	394126000910
	393559586467
	392797157437
	394055280023
	393962857639
	392910311077
	394063706791
	394063700716
	394238163914
	392378848479
	394138001417
	392529335531
	394205000499
	392381770176
	393141698964
	394131574812
	394203936930
	394169351143
	394128557835
	392259667790
	394075728929
	393193761073
	394128653019
	392870409039
	392118388000
	392712632129
	392685645441
	392120300491
	394076781640
	394243108770
	393899750728
	394076783024
	394129107273
	394202795466
	394064511130
	392226037675
	394072378121
	392685611650
	394076017160
	392685640840
	392910641939
	394129116201
	394077998647
	393360795763
	394164518744
	392259661391
	394076784190
	392870410190
	392988471430
	392225895710
	393242386343
	392795944697
	394124090136
	393103667872
	392259651703
	394103299531
	392226026358
	393142086526
	393899740793
	394072164656
	394131574606
	392685646117
	392685620805
	392870410970
	394064529381
	392120308080
	392226012914
	394162569525
	392870406897
	392685646014
	392120299016
	392225843600
	392343209562
	394167401414
	394077063589
	392259646818
	394048953634
	392226015280
	393360843232
	394177765458
	392480676903
	394125397570
	394162593243
	392343211838
	393188180897
	394243018506
	392226014939
	393193758630
	392226022536
	394131505915
	392378851475
	394169108700
	393239073511
	394203942843
	394072055810
	393360843184
	393616925249
	392228636358
	392120298204
	392118331619
	394076779102
	392343204181
	393360783704
	394121823484
	394077042190
	394238544221
	392685621168
	392483169984
	394162573285
	392226013895
	394125523687
	392685629478
	394195285043
	392381778166
	392007187752
	394076783080
	392381779276
	392259659954
	392685610414
	392870407128
	394195298135
	394131574797
	393856135979
	392908516442
	393142378066
	394182973336
	394072375339
	392226036933
	392685642317
	392378845079
	394197265011
	392226028979
	392873174685
	392797416593
	394162307885
	394120179481
	394215063840
	394076779190
	393360842670
	393103667173
	393360783976
	392191576737
	392226015832
	393899774633
	394164319675
	394014072615
	394077022372
	392343207879
	392712596377
	394014212052
	393193760077
	392797420541
	392685647146
	393239073820
	394164519464
	392908543332
	394076391709
	393142831955
	394169180041
	393438316718
	393789455430
	394076782820
	392685638244
	393242387291
	394076623611
	394073713680
	392910311055
	394178569866
	392685625976
	393360842019
	394072094428
	393438317173
	392226040101
	394129071669
	392226029747
	394124093216
	394076788048
	392259647869
	394129066133
	392870465820
	392343205328
	394122068462
	394164032023
	394128652917
	393360807543
	392120295823
	394054453680
	394169315156
	394076627890
	394054498653
	394093468588
	392568501249
	392378841371
	394169306596
	394014050275
	392225845624
	392343205020
	393188178176
	392483169756
	394016726283
	394124270302
	392528743729
	394122616873
	392226037220
	392381776715
	394154263050
	393188181150
